"code"|"description"|"percentage_tariff"
"39191011"|"Cinta aislante PVC"|"0"
"39191080"|"Cintas, tiras autoadhesivas (6,5%)"|"6,5"
"39259020"|"Perfiles para canalizaciones eléctricas (6,5%)"|"6,5"
"39269097"|"Etiquetas (6,5%)"|"6,5"
"73181551"|"Tornillos (3,7%) + Dumping (27,4%)"|"3,7"
"83014090"|"Candados, cerraduras y cerrojos (2,7%)"|"2,7"
"84145995"|"Ventiladores (2,3%)"|"2,3"
"84149000"|"Rejillas para ventilador (2,2%)"|"2,2"
"84713000"|"Maq. para procesamiento de datos peso < 10kg (0%)"|"0"
"84714100"|"Maq. para procesamiento de datos (0%)"|"0"
"84715000"|"Placa Base (0%)"|"0"
"84716070"|"Monitores (0%)  **** NO UTILIZAR****"|"0"
"84717050"|"Unidades de Memoria de Disco Duro (0%)"|"0"
"84718000"|"Maq. para tratamiento procesamiento datos (0%)"|"0"
"84719000"|"Lector tarjeta Magnetica (0%)"|"0"
"84729080"|"Impresoras (O%)"|"0"
"84732910"|"Impresoras, calculadoras (Conjunt. Elec.Mont) (0%)"|"0"
"84732990"|"Impresoras, maquin.  calculadoras (Los demás) (0%)"|"0"
"84733080"|"Partes Piezas de Ordenador (Programers) (0%)"|"0"
"85043180"|"Fuentes de alimentación (3,7%)"|"3,7"
"85043400"|"Transformadores (Invertes) ""los demás"" (3,7%)"|"3,7"
"85044030"|"Convertidores estáticos, telec, proceso datos (0%)"|"0"
"85045000"|"Filtro de red (bobinas de reactancia) (0%)"|"0"
"85049091"|"Convertidores estáticos (8504 40 30) (0%)"|"0"
"85049099"|"Convertidores para aeronaves (2,2%)"|"2,2"
"85051100"|"Solenoides (2,2%)"|"2,2"
"85061011"|"Pila alcalina (4,7%)"|"4,7"
"85065090"|"Baterias de Líteo (4,7%)"|"4,7"
"85176200"|"Aparatos de conmutación y Routers (0%)"|"0"
"85179082"|"Teclados de telefono"|"0"
"85184000"|"Altavoces (0%)"|"0"
"85184080"|"Amplificadores de Audio (0%)"|"0"
"85234990"|"Software en soporte óptico (0%)"|"0"
"85258019"|"Camaras IP (1,6%)"|"1,6"
"85285210"|"Monitores VGA (HDMI o DVI) sin entrada de video 0%"|"0"
"85285900"|"Monitores con entrada de VIDEO + VGA (14%)"|"14"
"85287119"|"Aparatos receptores de TV, radiodif.o Grab (7%)"|"7"
"85291030"|"Antenas y reflectores de antena (0%)"|"0"
"85299092"|"Brazos articulados, soportes ARM (2,5%)"|"2,5"
"85311095"|"Zumbadores (2,2%)"|"2,2"
"85312020"|"Displays Led (0%) **** NO UTILIZAR****"|"0"
"85312095"|"Displays LCD (0%)"|"0"
"85319000"|"Displays Led (0%)"|"0"
"85319085"|"Displays electromecanicos (2,2%)"|"2,2"
"85322900"|"Condensadores (0%)"|"0"
"85332100"|"Resistencias (0%)"|"0"
"85333100"|"Potenciometros (0%)"|"0"
"85361050"|"Fusibles de gas, descargadores (2,3%)"|"2,3"
"85364900"|"Reles reed, optoacl, sens nivel, proximidad (2,3%)"|"2,3"
"85365011"|"Pulsadores (0%)"|"0"
"85369010"|"Regletas de conexion, conectores (0%)"|"0"
"85369080"|"Porta fusibles"|"0"
"85369095"|"Microswich, Tira Pin,  zócalos (0%)"|"0"
"85392198"|"Lamparas halogenas (2,7%)"|"2,7"
"85392290"|"Lamparas ahorro de energia (2,7%)"|"2,7"
"85411000"|"Diodos potencia, varistores (0%)"|"0"
"85412100"|"Transistores (0%)"|"0"
"85414010"|"Diodos led (0%)"|"0"
"85416000"|"Cristales y osciladores (0%)"|"0"
"85423190"|"Procesadores (0%)"|"0"
"85423261"|"Memorias RAM y FLASH inferiores a 512 MB (0%)"|"0"
"85423269"|"Memorias RAM Y FLASH superiores a 512 MB (0%)"|"0"
"85423290"|"Modulos de memoria (0%)"|"0"
"85423990"|"Circuitos Integrados (0%)"|"0"
"85429000"|"Puentes rectificadores (0%)"|"0"
"85437090"|"Lamparas en forma de tubo y con casquillo (3,7%)"|"3,7"
"85442000"|"Cables Coaxiales (3,7%)"|"3,7"
"85444290"|"Cables conductores < 1000 V (3,3%)"|"3,3"
"90138020"|"Dispositivos Cristal Liquido de Matriz Activa (0%)"|"0"
"90138030"|"Visualizadores, los demas  (0%)"|"0"
"90262020"|"Sensores presion (0%)"|"0"
"90271090"|"Sensores de gas (0%)"|"0"
"90303991"|"Detector de corriente"|"0"
"94054010"|"Proyectores con tecnoligia Led (3,7%)"|"3,7"
"94054039"|"Back light aparatos de alumbrado (4,7%)"|"4,7"
"94054099"|"Tiras Led, Aparatos de alumbrado farolas (2,7%)"|"2,7"

